,Highest Ratio,Average Others,T-Statistic,P-Value,Label
261,0.4745762711864407,0.40084745762711865,-5.117647058823531,0.014439978840531617,Original
262,0.4576271186440678,0.31631355932203387,-4.390851056341401,0.021884716395917995,Original
263,0.3333333333333333,0.2711864406779661,-4.016632088371216,0.02770576700479268,Original
264,0.4406779661016949,0.3540489642184557,-3.260853543038344,0.08256523104344153,Original
265,0.4576271186440678,0.37563559322033896,-4.895597481406331,0.016307334114510047,Original
266,0.5084745762711864,0.39682203389830506,-4.774692154738101,0.017457356531658943,Original
267,0.5166666666666667,0.3771186440677966,-6.9688146846829495,0.00606320270460328,Original
268,0.4745762711864407,0.40480225988700563,-2.244619924618763,0.15392599376576382,Original
269,0.4067796610169492,0.33785310734463275,-2.752891462679799,0.07057104088631745,Original
270,0.45,0.32627118644067793,-6.584419205304784,0.007128240934046268,Original
271,0.4067796610169492,0.33340395480225987,-2.392200090989989,0.09654983618738305,Original
272,0.4067796610169492,0.3500706214689266,-2.147266074887937,0.12101972629670502,Original
273,0.4915254237288136,0.39896421845574387,-4.392202321683557,0.048125248972546525,Original
274,0.4067796610169492,0.363135593220339,-2.037441371070689,0.1343771965437019,Original
275,0.48333333333333334,0.3601694915254237,-4.043803171028667,0.027220277010713455,Original
276,0.4067796610169492,0.32916666666666666,-4.334673395356122,0.0226503559908631,Original
277,0.4166666666666667,0.37711864406779666,-1.9749677244040724,0.14275464845123928,Original
278,0.5254237288135594,0.4472457627118644,-4.483251319120438,0.020696735526511162,Original
279,0.4915254237288136,0.346045197740113,-5.143574545220902,0.014240481118726733,Original
280,0.4576271186440678,0.29971751412429376,-8.707841203347302,0.0031878312735672807,Original
281,0.4745762711864407,0.3206920903954802,-6.159177470925122,0.008612932023026598,Original
282,0.3898305084745763,0.3248587570621469,-5.276561879022925,0.01327183724912815,Original
283,0.4406779661016949,0.34597457627118644,-4.470968814876207,0.020849754679967962,Original
284,0.5084745762711864,0.34590395480225994,-3.714817178281528,0.033928358727363876,Original
285,0.4576271186440678,0.3923728813559322,-2.707175832648326,0.07333935451425552,Original
286,0.3898305084745763,0.3082627118644068,-3.1270512783828903,0.052184849438917776,Original
287,0.423728813559322,0.37617702448210927,-2.1147485270709563,0.16874539562177085,Original
288,0.5423728813559322,0.36292372881355933,-5.215987959681293,0.013702017252772999,Original
289,0.4576271186440678,0.3816384180790961,-2.042749961024093,0.17780819467640524,Original
290,0.43333333333333335,0.3559322033898305,-2.3848638865930605,0.09719033554345949,Original
291,0.4067796610169492,0.3163841807909605,-13.063945294843638,0.0009686387721898685,Original
292,0.3898305084745763,0.346045197740113,-7.51860437612632,0.0048760779327184315,Original
293,0.4576271186440678,0.35,-5.823074704906403,0.010086133108957392,Original
294,0.5084745762711864,0.4718455743879473,-2.3238483653527293,0.145752005957584,Original
295,0.423728813559322,0.38747645951035786,-2.48387096774193,0.13098307174005927,Original
296,0.4915254237288136,0.3967514124293785,-6.064766311184656,0.008996522307758008,Original
297,0.4406779661016949,0.3672316384180791,-3.2003787654626485,0.04931755050578723,Original
298,0.423728813559322,0.3670197740112995,-2.739338279816391,0.07137801893519374,Original
299,0.4745762711864407,0.3377118644067797,-8.333345166769199,0.0036219707869269407,Original
300,0.4166666666666667,0.3432203389830508,-3.466666666666669,0.04044399231953359,Original
301,0.4745762711864407,0.3757062146892655,-6.28618557093712,0.00813006680248645,Original
302,0.4745762711864407,0.3204802259887006,-5.96246084588649,0.00943790429103949,Original
303,0.5,0.3644067796610169,-6.357755313912211,0.00787356840736677,Original
304,0.43333333333333335,0.3771186440677966,-1.5819079806991574,0.21181729689488749,Original
305,0.5166666666666667,0.4067796610169492,-4.404557662822478,0.021703011848884367,Original
306,0.4745762711864407,0.4101694915254237,-2.577629100382969,0.12328440517539614,Original
307,0.5084745762711864,0.3753531073446328,-6.31056255621062,0.008041485679774507,Original
308,0.4576271186440678,0.3672316384180791,-7.5424723326565015,0.00483178537362738,Original
309,0.423728813559322,0.3145951035781544,-3.1849674947750137,0.08604712307024512,Original
310,0.3898305084745763,0.32551789077212806,-1.4349594508232855,0.2877633918978512,Original
311,0.4745762711864407,0.354590395480226,-3.4224483105094405,0.041768035740251584,Original
312,0.5084745762711864,0.3714689265536723,-5.34778311027372,0.012788321514374179,Original
313,0.48333333333333334,0.3771186440677966,-2.881670261299946,0.06344247147107336,Original
314,0.423728813559322,0.33749999999999997,-14.93808506039733,0.0006510638055588633,Original
315,0.4915254237288136,0.3628531073446327,-7.3695757821568195,0.005165112471402641,Original
316,0.3898305084745763,0.32937853107344633,-2.297491967496297,0.10523014082412589,Original
